ID_FIXTURE,DATE,ID_HOME_TEAM,ID_AWAY_TEAM,SHOTS_ON_GOAL,SHOTS_OFF_GOAL,TOTAL_SHOTS,BLOCKED_SHOTS,SHOTS_INSIDEBOX,SHOTS_OUTSIDEBOX,CORNER_KICKS,BALL_POSSESION,TOTAL_PASSES,PASSES_ACCURATE
838149,2022-07-10,1193,120,6,4,14,4,9,5,5,47%,404,329
838150,2022-07-10,147,152,2,10,19,7,7,12,11,48%,348,281
838152,2022-07-16,127,147,4,8,17,5,12,5,8,55%,545,489
838156,2022-07-17,152,151,1,12,24,11,16,8,7,61%,471,393
838157,2022-07-17,129,131,7,6,18,5,10,8,6,45%,433,356
838159,2022-07-16,145,128,4,6,14,4,8,6,6,41%,337,259
838160,2022-07-16,134,119,5,8,17,4,9,8,5,60%,502,425
838154,2022-07-18,121,1193,8,5,16,3,11,5,11,61%,494,419
838161,2022-07-21,125,121,3,8,15,4,8,7,7,48%,399,311
838162,2022-07-20,127,152,12,5,27,10,20,7,5,63%,550,503
838163,2022-07-20,794,154,7,5,14,2,6,8,4,55%,404,317
838164,2022-07-21,131,147,6,4,19,9,11,8,9,61%,584,523
838165,2022-07-21,128,120,7,7,16,2,10,6,4,36%,298,226
838166,2022-07-20,119,126,7,7,15,1,9,6,4,34%,291,241
838167,2022-07-20,129,145,5,8,14,1,10,4,3,45%,365,284
838168,2022-07-20,151,124,5,7,15,3,8,7,2,27%,205,154
838169,2022-07-21,1193,1062,8,6,16,2,11,5,4,32%,296,229
838170,2022-07-20,134,144,9,4,15,2,8,7,3,43%,383,310
838171,2022-07-24,1062,131,6,5,14,3,5,9,5,53%,520,436
838172,2022-07-24,124,794,7,11,24,6,14,10,9,61%,528,434
838173,2022-07-23,126,151,4,10,20,6,14,6,6,64%,539,470
838174,2022-07-24,121,119,9,7,18,2,10,8,12,52%,389,326
838175,2022-07-24,120,134,6,10,17,1,10,7,2,54%,491,408
838176,2022-07-24,152,129,7,2,13,4,6,7,8,44%,334,270
838177,2022-07-24,154,128,2,13,27,12,8,19,7,52%,381,307
838178,2022-07-24,144,125,6,10,23,7,12,11,6,64%,552,460
838179,2022-07-24,145,127,4,6,13,3,7,6,6,43%,332,269
838180,2022-07-25,147,1193,2,1,4,1,3,1,4,42%,366,276
838181,2022-07-31,125,145,6,9,18,3,14,4,7,48%,372,287
838182,2022-07-30,127,144,6,8,16,2,12,4,6,52%,468,403
838183,2022-07-31,794,152,5,12,23,6,12,11,7,52%,443,380
838184,2022-07-30,131,120,3,10,15,2,10,5,3,49%,409,315
838185,2022-08-01,128,124,3,5,10,2,5,5,5,33%,314,253
838186,2022-07-31,119,1062,3,3,9,3,7,2,1,31%,278,197
838187,2022-07-30,129,121,7,2,12,3,4,8,6,47%,371,294
838188,2022-07-30,151,147,4,10,18,4,10,8,3,50%,357,282
838189,2022-07-31,1193,154,5,8,19,6,13,6,10,56%,425,344
838190,2022-07-31,134,126,4,3,10,3,6,4,6,40%,314,234
838191,2022-08-07,1062,134,8,6,21,7,9,12,11,64%,503,440
838192,2022-08-07,124,1193,5,4,10,1,6,4,11,64%,557,492
838193,2022-08-06,126,127,5,6,14,3,6,8,5,54%,495,414
838194,2022-08-07,121,151,8,9,19,2,12,7,5,56%,438,372
838195,2022-08-06,120,129,4,4,11,3,2,9,3,40%,347,271
838196,2022-08-06,152,125,3,8,15,4,13,2,13,65%,504,423
838197,2022-08-07,154,119,7,4,16,5,9,7,7,33%,264,196
838198,2022-08-06,144,794,4,3,11,4,7,4,8,43%,332,268
838199,2022-08-06,145,131,2,4,7,1,5,2,2,41%,368,287
838200,2022-08-08,147,128,2,8,15,5,11,4,6,48%,424,350
838201,2022-08-14,125,128,5,8,16,3,9,7,6,39%,339,233
838202,2022-08-14,127,134,13,1,19,5,10,9,12,69%,568,516
838203,2022-08-14,126,794,4,8,16,4,12,4,13,51%,380,294
838204,2022-08-13,131,121,4,5,14,5,6,8,5,57%,487,398
838205,2022-08-14,120,144,5,5,14,4,7,7,8,54%,459,386
838206,2022-08-14,119,124,5,5,15,5,7,8,6,33%,296,239
838207,2022-08-14,129,154,3,5,13,5,7,6,4,65%,484,380
838208,2022-08-13,151,145,2,11,17,4,12,5,6,46%,313,247
838209,2022-08-13,1193,152,4,6,13,3,8,5,5,45%,342,277
838210,2022-08-14,147,1062,2,5,7,None,4,3,1,41%,367,279
838211,2022-08-20,1062,151,7,16,28,5,18,10,7,73%,591,504
838212,2022-08-20,124,147,6,5,15,4,12,3,11,64%,572,509
838213,2022-08-21,794,129,11,10,28,7,12,16,10,58%,424,353
838214,2022-08-21,121,127,3,11,20,6,11,9,10,56%,487,408
838215,2022-08-21,128,126,5,5,13,3,7,6,5,29%,271,212
838216,2022-08-21,152,120,5,5,12,2,7,5,2,35%,283,200
838217,2022-08-21,154,131,4,7,13,2,7,6,4,37%,285,212
838218,2022-08-21,144,1193,2,3,7,2,4,3,3,37%,295,227
838219,2022-08-22,145,119,2,5,10,3,7,3,8,50%,461,367
838220,2022-08-21,134,125,10,8,19,1,9,10,2,58%,531,442
838221,2022-08-28,125,1062,5,3,9,1,8,1,6,43%,310,227
838222,2022-08-27,124,121,3,10,17,4,10,7,3,61%,543,494
838223,2022-08-28,126,154,8,5,15,2,13,2,7,72%,615,528
838225,2022-08-28,120,127,4,8,14,2,4,10,3,46%,418,335
838227,2022-08-28,129,134,4,12,19,3,12,7,9,59%,399,327
838228,2022-08-27,151,144,4,7,15,4,9,6,3,31%,210,155
838229,2022-08-28,1193,128,7,6,21,8,15,6,14,47%,362,283
838230,2022-08-27,147,145,3,6,12,3,6,6,4,44%,357,285
