838070,2022-05-29,147,120,3,8,18,7,7,11,9,72%,485,405
838071,2022-06-04,125,1193,2,1,5,2,3,2,4,48%,416,317
838072,2022-06-05,127,154,6,5,12,1,7,5,3,34%,280,211
838073,2022-06-05,794,119,5,3,9,1,7,2,3,51%,479,397
838074,2022-06-05,121,1062,3,5,11,3,3,8,2,50%,377,310
838075,2022-06-06,120,151,4,5,11,2,9,2,2,38%,283,200
838076,2022-06-05,152,124,2,4,6,None,3,3,7,51%,259,102
838077,2022-06-04,129,147,6,4,14,4,4,10,6,49%,419,337
838078,2022-06-04,144,131,1,6,10,3,7,3,None,44%,432,361
838079,2022-06-04,145,126,4,5,16,7,9,7,7,47%,384,285
838080,2022-06-04,134,128,3,9,14,2,8,6,6,58%,418,342
838081,2022-06-08,125,129,3,2,6,1,3,3,4,43%,338,235
838082,2022-06-09,124,1062,6,4,11,1,8,3,9,56%,419,355
838083,2022-06-08,794,127,3,7,12,2,4,8,7,68%,551,490
838084,2022-06-09,121,120,3,7,12,2,4,8,4,52%,440,379
838085,2022-06-09,128,119,6,3,11,2,9,2,3,49%,403,325
838086,2022-06-08,152,134,6,None,7,1,3,4,5,45%,338,235
838087,2022-06-09,154,151,2,8,12,2,5,7,2,49%,377,310
838088,2022-06-08,144,145,3,6,10,1,5,5,6,47%,394,313
838089,2022-06-08,1193,131,4,6,11,1,8,3,3,61%,552,481
838090,2022-06-09,147,126,4,5,16,7,10,6,10,60%,468,391
838091,2022-06-11,1062,128,6,4,12,2,10,2,6,32%,275,219
838092,2022-06-11,124,144,9,3,17,5,8,9,6,53%,476,402
838093,2022-06-12,126,125,5,5,11,1,9,2,4,52%,438,330
838094,2022-06-11,131,152,2,3,8,3,2,6,5,43%,426,349
838095,2022-06-13,120,145,2,4,9,3,4,5,1,49%,409,312
838096,2022-06-12,119,127,3,8,16,5,12,4,4,68%,599,530
838097,2022-06-12,154,134,None,6,7,1,2,5,1,37%,297,194
838098,2022-06-12,151,129,6,8,20,6,12,8,10,51%,372,281
838099,2022-06-11,1193,794,4,3,8,1,5,3,4,57%,450,368
838100,2022-06-12,147,121,6,6,16,4,6,10,6,53%,470,408
838101,2022-06-16,125,124,3,10,20,7,11,9,8,78%,687,614
838102,2022-06-15,127,1193,1,5,6,None,3,3,3,37%,350,294
838103,2022-06-15,794,147,5,6,16,5,8,8,5,48%,415,335
838104,2022-06-16,121,144,3,5,10,2,7,3,4,51%,392,326
838105,2022-06-16,120,126,2,2,6,2,4,2,3,67%,573,470
838106,2022-06-15,152,128,9,7,18,2,14,4,9,66%,630,555
838107,2022-06-15,129,1062,2,8,14,4,6,8,2,48%,450,361
838108,2022-06-15,151,119,8,3,16,5,9,7,2,47%,408,327
838109,2022-06-16,145,154,3,1,4,None,2,2,4,50%,422,343
838110,2022-06-16,134,131,6,2,11,3,4,7,4,56%,522,450
838111,2022-06-19,1062,127,3,3,10,4,5,5,8,52%,406,348
838112,2022-06-19,124,145,4,4,9,1,2,7,3,50%,486,408
838113,2022-06-20,126,121,7,9,23,7,12,11,7,61%,446,370
838114,2022-06-19,131,151,2,5,9,2,2,7,4,34%,300,221
838115,2022-06-19,128,794,7,7,18,4,7,11,9,57%,441,377
838116,2022-06-19,119,120,6,3,10,1,7,3,2,22%,177,108
838117,2022-06-19,154,125,4,6,14,4,6,8,8,49%,325,226
838118,2022-06-19,144,152,3,1,5,1,2,3,2,35%,277,202
838119,2022-06-18,1193,129,1,3,8,4,4,4,6,54%,440,369
838120,2022-06-19,147,134,3,6,10,1,5,5,1,39%,252,177
838121,2022-06-26,1062,154,3,3,8,2,3,5,3,33%,326,256
838122,2022-06-25,127,125,5,6,15,4,8,7,7,47%,386,300
838123,2022-06-26,126,152,2,2,4,None,1,3,1,41%,401,322
838124,2022-06-25,131,128,2,3,7,2,3,4,2,38%,336,247
838125,2022-06-26,120,124,3,6,11,2,7,4,6,79%,728,651
838126,2022-06-25,119,147,4,5,14,5,6,8,9,44%,426,377
838127,2022-06-26,129,144,2,3,7,2,2,5,2,51%,369,301
838128,2022-06-26,151,1193,2,7,13,4,7,6,6,54%,354,270
838129,2022-06-26,145,121,4,8,15,3,12,3,5,51%,390,290
